X,Y,Temperature
0.156250,8.906250,0.531928
0.156250,9.062500,0.547708
0.156250,9.218750,0.563913
0.156250,9.375000,0.580562
0.156250,9.531250,0.597674
0.156250,9.687500,0.615267
0.156250,9.843750,0.633362
0.156250,10.000000,0.651982
0.156250,10.156250,0.671149
0.156250,10.312500,0.690889
0.156250,10.468750,0.711226
0.156250,10.625000,0.732188
0.156250,10.781250,0.753805
0.156250,10.937500,0.776109
0.156250,11.093750,0.799132
0.156250,11.250000,0.822910
0.156250,11.406250,0.847482
0.156250,11.562500,0.872888
0.156250,11.718750,0.899172
0.156250,11.875000,0.926381
0.156250,12.031250,0.954566
0.156250,12.187500,0.983782
0.156250,12.343750,1.014087
0.156250,12.500000,1.045546
0.156250,12.656250,1.078228
0.156250,12.812500,1.112207
0.156250,12.968750,1.147567
0.156250,13.125000,1.184396
0.156250,13.281250,1.222791
0.156250,13.437500,1.262859
0.156250,13.593750,1.304717
0.156250,13.750000,1.348494
0.156250,13.906250,1.394331
0.156250,14.062500,1.442385
0.156250,14.218750,1.492830
0.156250,14.375000,1.545858
0.156250,14.531250,1.601685
0.156250,14.687500,1.660550
0.156250,14.843750,1.722723
0.156250,15.000000,1.788507
0.156250,15.156250,1.858244
0.156250,15.312500,1.932322
0.156250,15.468750,2.011183
0.156250,15.625000,2.095330
0.156250,15.781250,2.185344
0.156250,15.937500,2.281893
0.156250,16.093750,2.385752
0.156250,16.250000,2.497828
0.156250,16.406250,2.619183
0.156250,16.562500,2.751073
0.156250,16.718750,2.894994
0.156250,16.875000,3.052742
0.156250,17.031250,3.226491
0.156250,17.187500,3.418896
0.156250,17.343750,3.633241
0.156250,17.500000,3.873628
0.156250,17.656250,4.145254
0.156250,17.812500,4.454801
0.156250,17.968750,4.811006
0.156250,18.125000,5.225516
0.156250,18.281250,5.714209
0.156250,18.437500,6.299304
0.156250,18.593750,7.012864
0.156250,18.750000,7.902919
0.156250,18.906250,9.044725
0.156250,19.062500,10.562982
0.156250,19.218750,12.679237
0.156250,19.375000,15.822833
0.156250,19.531250,20.918878
0.156250,19.687500,30.221369
0.156250,19.843750,49.993320
0.156250,20.000000,100.000000
0.312500,0.000000,0.000000
0.312500,0.156250,0.013351
0.312500,0.312500,0.026711
0.312500,0.468750,0.040088
0.312500,0.625000,0.053490
0.312500,0.781250,0.066926
0.312500,0.937500,0.080403
0.312500,1.093750,0.093932
0.312500,1.250000,0.107520
0.312500,1.406250,0.121175
0.312500,1.562500,0.134907
0.312500,1.718750,0.148725
0.312500,1.875000,0.162636
0.312500,2.031250,0.176651
0.312500,2.187500,0.190777
0.312500,2.343750,0.205024
0.312500,2.500000,0.219401
0.312500,2.656250,0.233918
0.312500,2.812500,0.248584
0.312500,2.968750,0.263408
0.312500,3.125000,0.278400
0.312500,3.281250,0.293570
0.312500,3.437500,0.308928
0.312500,3.593750,0.324485
0.312500,3.750000,0.340249
0.312500,3.906250,0.356233
0.312500,4.062500,0.372447
0.312500,4.218750,0.388901
0.312500,4.375000,0.405608
0.312500,4.531250,0.422578
0.312500,4.687500,0.439824
0.312500,4.843750,0.457357
0.312500,5.000000,0.475190
0.312500,5.156250,0.493335
0.312500,5.312500,0.511806
0.312500,5.468750,0.530615
0.312500,5.625000,0.549777
0.312500,5.781250,0.569305
0.312500,5.937500,0.589215
0.312500,6.093750,0.609521
0.312500,6.250000,0.630238
0.312500,6.406250,0.651383
0.312500,6.562500,0.672973
0.312500,6.718750,0.695023
0.312500,6.875000,0.717553
0.312500,7.031250,0.740579
0.312500,7.187500,0.764123
0.312500,7.343750,0.788202
0.312500,7.500000,0.812838
0.312500,7.656250,0.838051
0.312500,7.812500,0.863865
0.312500,7.968750,0.890302
0.312500,8.125000,0.917387
0.312500,8.281250,0.945144
0.312500,8.437500,0.973601
0.312500,8.593750,1.002784
0.312500,8.750000,1.032723
0.312500,8.906250,1.063447
0.312500,9.062500,1.094989
0.312500,9.218750,1.127383
0.312500,9.375000,1.160663
0.312500,9.531250,1.194866
0.312500,9.687500,1.230031
0.312500,9.843750,1.266201
0.312500,10.000000,1.303417
0.312500,10.156250,1.341727
0.312500,10.312500,1.381179
0.312500,10.468750,1.421826
0.312500,10.625000,1.463721
0.312500,10.781250,1.506925
0.312500,10.937500,1.551498
0.312500,11.093750,1.597509
0.312500,11.250000,1.645027
0.312500,11.406250,1.694129
0.312500,11.562500,1.744897
0.312500,11.718750,1.797418
0.312500,11.875000,1.851786
0.312500,12.031250,1.908101
0.312500,12.187500,1.966473
0.312500,12.343750,2.027020
0.312500,12.500000,2.089869
0.312500,12.656250,2.155157
0.312500,12.812500,2.223035
0.312500,12.968750,2.293665
0.312500,13.125000,2.367225
0.312500,13.281250,2.443909
0.312500,13.437500,2.523928
0.312500,13.593750,2.607516
0.312500,13.750000,2.694927
0.312500,13.906250,2.786445
0.312500,14.062500,2.882379
0.312500,14.218750,2.983076
0.312500,14.375000,3.088918
0.312500,14.531250,3.200331
0.312500,14.687500,3.317792
0.312500,14.843750,3.441835
0.312500,15.000000,3.573061
0.312500,15.156250,3.712148
0.312500,15.312500,3.859863
0.312500,15.468750,4.017079
0.312500,15.625000,4.184794
0.312500,15.781250,4.364153
0.312500,15.937500,4.556474
0.312500,16.093750,4.763288
0.312500,16.250000,4.986377
0.312500,16.406250,5.227830
0.312500,16.562500,5.490114
0.312500,16.718750,5.776162
0.312500,16.875000,6.089485
0.312500,17.031250,6.434325
0.312500,17.187500,6.815853
0.312500,17.343750,7.240440
0.312500,17.500000,7.716016
0.312500,17.656250,8.252587
0.312500,17.812500,8.862944
0.312500,17.968750,9.563707
0.312500,18.125000,10.376849
0.312500,18.281250,11.332018
0.312500,18.437500,12.470140
0.312500,18.593750,13.849235
0.312500,18.750000,15.554087
0.312500,18.906250,17.712998
0.312500,19.062500,20.527968
0.312500,19.218750,24.331134
0.312500,19.375000,29.693215
0.312500,19.531250,37.631312
0.312500,19.687500,49.973279
0.312500,19.843750,69.751909
0.312500,20.000000,100.000000
0.468750,0.000000,0.000000
0.468750,0.156250,0.020017
0.468750,0.312500,0.040046
0.468750,0.468750,0.060101
0.468750,0.625000,0.080193
