X,Y,Temp_Num,Temp_Exact
10.000000,0.625000,1.062895,1.082066
10.000000,1.250000,2.136083,2.174411
10.000000,1.875000,3.229941,3.287401
10.000000,2.500000,4.355024,4.431571
10.000000,3.125000,5.522144,5.617711
10.000000,3.750000,6.742461,6.856951
10.000000,4.375000,8.027561,8.160837
10.000000,5.000000,9.389537,9.541412
10.000000,5.625000,10.841062,11.011286
10.000000,6.250000,12.395454,12.583696
10.000000,6.875000,14.066728,14.272562
10.000000,7.500000,15.869631,16.092512
10.000000,8.125000,17.819654,18.058894
10.000000,8.750000,19.933006,20.187747
10.000000,9.375000,22.226549,22.495733
10.000000,10.000000,24.717669,25.000000
10.000000,10.625000,27.424076,27.717982
10.000000,11.250000,30.363506,30.667091
10.000000,11.875000,33.553311,33.864305
10.000000,12.500000,37.009909,37.325610
10.000000,13.125000,40.748082,41.065297
10.000000,13.750000,44.780108,45.095098
10.000000,14.375000,49.114732,49.423162
10.000000,15.000000,53.755998,54.052922
10.000000,15.625000,58.701999,58.981880
10.000000,16.250000,63.943641,64.200445
10.000000,16.875000,69.463545,69.690933
10.000000,17.500000,75.235280,75.426900
10.000000,18.125000,81.223093,81.372985
10.000000,18.750000,87.382327,87.485405
10.000000,19.375000,93.660638,93.713233
10.000000,20.000000,100.000000,100.000000
