X,Y,Temp_Num,Temp_Exact
10.000000,0.625000,1.015085,1.082066
10.000000,1.250000,2.040599,2.174411
10.000000,1.875000,3.087061,3.287401
10.000000,2.500000,4.165173,4.431571
10.000000,3.125000,5.285908,5.617711
10.000000,3.750000,6.460601,6.856951
10.000000,4.375000,7.701033,8.160837
10.000000,5.000000,9.019515,9.541412
10.000000,5.625000,10.428963,11.011286
10.000000,6.250000,11.942967,12.583696
10.000000,6.875000,13.575850,14.272562
10.000000,7.500000,15.342698,16.092512
10.000000,8.125000,17.259382,18.058894
10.000000,8.750000,19.342529,20.187747
10.000000,9.375000,21.609465,22.495733
10.000000,10.000000,24.078084,25.000000
10.000000,10.625000,26.766652,27.717982
10.000000,11.250000,29.693506,30.667091
10.000000,11.875000,32.876645,33.864305
10.000000,12.500000,36.333176,37.325610
10.000000,13.125000,40.078599,41.065297
10.000000,13.750000,44.125919,45.095098
10.000000,14.375000,48.484588,49.423162
10.000000,15.000000,53.159288,54.052922
10.000000,15.625000,58.148617,58.981880
10.000000,16.250000,63.443765,64.200445
10.000000,16.875000,69.027320,69.690933
10.000000,17.500000,74.872393,75.426900
10.000000,18.125000,80.942267,81.372985
10.000000,18.750000,87.190768,87.485405
10.000000,19.375000,93.563510,93.713233
10.000000,20.000000,100.000000,100.000000
